gen, roulette_hypot_uniform_best, roulette_hypot_uniform_ave
 421,   0.5703, 0.386343
 422,   0.5703, 0.379651
 423,   0.5703, 0.383767
 424,   0.5703, 0.381876
 425,   0.5703, 0.383213
 426,   0.5703, 0.386395
 427,   0.5703, 0.386344
 428,   0.5703, 0.388328
 429,   0.5703, 0.384106
 430,   0.5703, 0.380824
 431,   0.5703, 0.386867
 432,   0.5703, 0.391118
 433,   0.5703, 0.383685
 434,   0.5703, 0.386544
 435,   0.5703, 0.394255
 436,   0.5703, 0.394156
 437,   0.5703,  0.39537
 438,   0.5703, 0.395779
 439,   0.5703, 0.390601
 440,   0.5703, 0.397746
 441,   0.5703, 0.392679
 442,   0.5703,  0.39215
 443,   0.5703, 0.389513
 444,   0.5703, 0.388053
 445,   0.5703, 0.383461
 446,   0.5703, 0.387102
 447,   0.5703, 0.382652
 448,   0.5703, 0.384548
 449,   0.5703, 0.387464
 450,   0.5703, 0.391758
 451,   0.5703, 0.385654
 452,   0.5703, 0.387967
 453,   0.5703,  0.39212
 454,   0.5703, 0.387925
 455,   0.5703, 0.385673
 456,   0.5703, 0.385845
 457,   0.5703, 0.388752
 458,   0.5703, 0.387572
 459,   0.5703, 0.391678
 460,   0.5703, 0.386466
 461,   0.5703, 0.384811
 462,   0.5703,  0.38257
 463,   0.5703, 0.385421
 464,   0.5703, 0.387776
 465,   0.5703, 0.391068
 466,   0.5703, 0.394462
 467,   0.5703, 0.392477
 468,   0.5703, 0.387195
 469,   0.5703, 0.389912
 470,   0.5703, 0.394008
 471,   0.5703, 0.382411
 472,   0.5703, 0.387596
 473,   0.5703, 0.390498
 474,   0.5703, 0.395676
 475,   0.5703, 0.400435
 476,   0.5703, 0.395918
 477,   0.5703, 0.395894
 478,   0.5703, 0.394852
 479,   0.5703, 0.391217
 480,   0.5703, 0.395343
 481,   0.5703, 0.393644
 482,   0.5703, 0.394702
 483,   0.5703, 0.392909
 484,   0.5703, 0.393487
 485,   0.5703,  0.39514
 486,   0.5703, 0.396251
 487,   0.5703, 0.403093
 488,   0.5703, 0.393909
 489,   0.5703, 0.391243
 490,   0.5703, 0.391088
 491,   0.5703, 0.397702
 492,   0.5856, 0.402455
 493,   0.5856, 0.396348
 494,   0.5856, 0.402902
 495,   0.5856, 0.396957
 496,   0.5856, 0.400011
 497,   0.5856, 0.400393
 498,   0.5856, 0.401447
 499,    0.582, 0.397567
 500,    0.582,  0.39453
 501,    0.582, 0.398966
 502,    0.582, 0.402441
 503,    0.582, 0.399412
 504,    0.582, 0.399058
 505,    0.582, 0.402454
 506,    0.582, 0.408313
 507,    0.582, 0.408015
 508,    0.582,  0.40624
 509,    0.582, 0.402816
 510,    0.582, 0.406382
 511,    0.582, 0.407304
 512,    0.582, 0.400147
 513,    0.582, 0.403576
 514,    0.582, 0.402386
 515,    0.582, 0.403599
 516,    0.582, 0.401961
 517,    0.582, 0.398604
 518,    0.582, 0.403664
 519,    0.582, 0.402336
 520,    0.582, 0.399553
 521,    0.582, 0.402474
 522,    0.582,  0.40865
 523,    0.582, 0.408638
 524,    0.582, 0.407551
 525,   0.5864, 0.399582
 526,   0.5864, 0.402207
 527,   0.5864, 0.396571
 528,   0.5864, 0.401154
 529,   0.5864, 0.404603
 530,   0.5864, 0.403457
 531,   0.5864, 0.402941
 532,   0.5864, 0.402864
 533,   0.5864, 0.400608
 534,   0.5864, 0.403318
 535,   0.5864, 0.409425
 536,   0.5864, 0.404275
 537,   0.5864, 0.409612
 538,   0.5864, 0.414166
 539,   0.5864, 0.408325
 540,   0.5864, 0.407992
 541,   0.5864, 0.406784
 542,   0.5864, 0.415728
 543,   0.5864, 0.408659
 544,   0.5864, 0.404119
 545,   0.5864, 0.414373
 546,   0.6083,  0.41149
 547,   0.6083, 0.403116
 548,   0.6083, 0.411938
 549,   0.6083,  0.41162
 550,   0.6083, 0.410465
 551,   0.6083,  0.41548
 552,   0.6083,  0.41595
 553,   0.6083, 0.418561
 554,   0.6083, 0.420173
 555,   0.6083, 0.412654
 556,   0.6083, 0.414921
 557,   0.6083, 0.412533
 558,   0.6083, 0.412116
 559,   0.6083, 0.415244
 560,   0.6083, 0.419762
 561,   0.6083, 0.416006
 562,   0.6083, 0.417439
 563,   0.6083, 0.417241
 564,   0.6083, 0.418154
 565,   0.6083,  0.41663
 566,   0.6083, 0.414754
 567,   0.6083, 0.415708
 568,   0.6083, 0.419382
 569,   0.6083, 0.422513
 570,   0.6083, 0.423624
 571,   0.6083, 0.421533
 572,   0.6083, 0.423572
 573,   0.6083, 0.424982
 574,   0.6083, 0.415462
 575,   0.6083,  0.41857
 576,   0.6083, 0.419499
 577,   0.6083, 0.412937
 578,   0.6083, 0.412813
 579,   0.6083, 0.411355
 580,   0.6083, 0.411846
 581,   0.6083,  0.41943
 582,   0.6083, 0.420303
 583,   0.6083, 0.417765
 584,   0.6083, 0.424048
 585,   0.6083, 0.421359
 586,   0.6083, 0.428533
 587,   0.6083, 0.428407
 588,   0.6083, 0.433277
 589,   0.6083, 0.433501
 590,   0.6083, 0.438431
 591,   0.6083, 0.439069
 592,   0.6083, 0.434061
 593,   0.6083, 0.426217
 594,   0.6083, 0.426936
 595,   0.6083, 0.429419
 596,   0.6083, 0.424138
 597,   0.6083, 0.426626
 598,   0.6083, 0.433293
 599,   0.6083, 0.433601
 600,   0.6083, 0.433344
 601,   0.6083, 0.431832
 602,   0.6083, 0.430095
 603,   0.6083, 0.426951
 604,   0.6083, 0.427615
 605,   0.6083, 0.432367
 606,   0.6083, 0.435405
 607,   0.6083, 0.428515
 608,   0.6083, 0.428057
 609,   0.6083, 0.433212
 610,   0.6083, 0.428636
 611,   0.6083, 0.431675
 612,   0.6083,  0.43323
 613,   0.6083,  0.42819
 614,   0.6083, 0.430989
 615,   0.6083, 0.428314
 616,   0.6083, 0.432878
 617,   0.6083,  0.43418
 618,   0.6083, 0.428076
 619,   0.6083, 0.429563
 620,   0.6083, 0.428645
 621,   0.6083, 0.433749
 622,   0.6083, 0.439722
 623,   0.6083, 0.432993
 624,   0.6083, 0.437612
 625,   0.6083, 0.436626
 626,   0.6083, 0.438957
 627,   0.6083, 0.439516
 628,   0.6083, 0.434215
 629,   0.6083,  0.43368
 630,   0.6083, 0.436265
 631,   0.6083, 0.432513
 632,   0.6083, 0.433943
 633,   0.6061, 0.430252
 634,   0.6178, 0.431025
