jen, ranking_hypot_twopoint_best, ranking_hypot_twopoint_ave
 310,    0.624, 0.525222
 311,    0.624, 0.522071
 312,   0.6203, 0.531635
 313,   0.6203, 0.529715
 314,   0.6203, 0.530001
 315,   0.6203, 0.529164
 316,   0.6265, 0.525051
 317,   0.6265, 0.526523
 318,   0.6265, 0.523427
 319,   0.6265, 0.524343
 320,   0.6335, 0.538461
 321,   0.6335, 0.531795
 322,   0.6352, 0.547028
 323,   0.6352, 0.544473
 324,    0.641,  0.54834
 325,    0.641, 0.551032
 326,   0.6432, 0.544292
 327,   0.6406, 0.546424
 328,   0.6439, 0.554093
 329,   0.6439,   0.5565
 330,   0.6463, 0.552166
 331,   0.6463, 0.554075
 332,   0.6466, 0.561126
 333,   0.6466, 0.560799
 334,   0.6466,  0.56173
 335,     0.65, 0.569579
 336,     0.65, 0.559248
 337,   0.6487, 0.556363
 338,   0.6487, 0.561366
 339,   0.6494, 0.568048
 340,   0.6494,  0.57195
 341,   0.6494, 0.576941
 342,   0.6494, 0.572567
 343,   0.6494, 0.582849
 344,   0.6494,  0.57349
 345,     0.65, 0.579974
 346,   0.6549, 0.574888
 347,   0.6549, 0.575418
 348,   0.6549, 0.577212
 349,   0.6568, 0.578423
 350,   0.6568, 0.567631
 351,   0.6516, 0.572746
 352,   0.6516, 0.579542
 353,   0.6516, 0.575109
 354,   0.6516, 0.579922
 355,   0.6516, 0.579395
 356,   0.6516, 0.581987
 357,   0.6528, 0.572712
 358,   0.6576, 0.578638
 359,   0.6576, 0.581649
 360,   0.6576, 0.575723
 361,   0.6592, 0.574713
 362,   0.6542, 0.579984
 363,   0.6542, 0.580473
 364,   0.6608, 0.584608
 365,   0.6589,  0.58472
 366,   0.6589, 0.579811
 367,   0.6593, 0.582144
 368,   0.6593, 0.579612
 369,   0.6593, 0.582776
 370,   0.6583, 0.583717
 371,   0.6583, 0.583446
 372,   0.6583, 0.583082
 373,   0.6598, 0.577109
 374,   0.6598, 0.583575
 375,   0.6595, 0.585647
 376,   0.6595, 0.579883
 377,   0.6595, 0.578046
 378,   0.6595,  0.58664
 379,   0.6594, 0.574988
 380,   0.6594, 0.576198
 381,   0.6594, 0.576585
 382,   0.6628, 0.579777
 383,   0.6628, 0.578029
 384,   0.6628, 0.574251
 385,   0.6628, 0.580856
 386,   0.6628, 0.581408
 387,   0.6628, 0.574474
 388,   0.6628, 0.574613
 389,   0.6628, 0.574514
 390,   0.6628, 0.577763
 391,   0.6628, 0.580091
 392,   0.6628,  0.58356
 393,   0.6628, 0.579187
 394,    0.667, 0.580725
 395,   0.6673, 0.583413
 396,   0.6673, 0.577067
 397,   0.6673, 0.580159
 398,   0.6673, 0.579551
 399,   0.6673, 0.582517
 400,   0.6692, 0.581526
 401,   0.6692, 0.579063
 402,   0.6689, 0.582647
 403,   0.6689, 0.579351
 404,   0.6689, 0.586526
 405,   0.6689, 0.594553
 406,   0.6689,  0.58702
 407,   0.6686, 0.581926
 408,   0.6686, 0.584418
 409,   0.6723, 0.580742
 410,   0.6692, 0.589115
 411,   0.6692, 0.589502
 412,   0.6712, 0.584888
 413,   0.6712, 0.587857
 414,   0.6712, 0.586606
 415,   0.6722, 0.584291
 416,   0.6722, 0.588278
 417,   0.6722, 0.591999
 418,   0.6722, 0.587436
 419,   0.6722, 0.598635
 420,   0.6722, 0.593066
 421,   0.6722, 0.586679
 422,   0.6745,   0.5926
 423,   0.6742, 0.589814
 424,    0.675,  0.59154
 425,    0.675, 0.593565
 426,    0.675, 0.588377
 427,    0.675, 0.588398
 428,    0.675, 0.585164
 429,    0.675, 0.586642
 430,    0.675, 0.582617
 431,    0.675, 0.587928
 432,    0.675, 0.588232
 433,    0.675, 0.592843
 434,    0.675, 0.587683
 435,    0.675, 0.588533
 436,   0.6764, 0.589198
 437,   0.6764, 0.586993
 438,   0.6761, 0.597812
 439,   0.6761, 0.593571
 440,   0.6795, 0.589928
 441,   0.6795, 0.592668
 442,   0.6795, 0.598927
 443,   0.6795, 0.591872
 444,   0.6795, 0.591582
 445,   0.6795,  0.58976
 446,   0.6795, 0.594364
 447,   0.6795, 0.596032
 448,   0.6795, 0.605416
 449,   0.6795,  0.60119
 450,   0.6795, 0.600469
 451,   0.6795, 0.594519
 452,   0.6795,  0.58881
 453,   0.6795, 0.588265
 454,   0.6795, 0.590155
 455,   0.6795, 0.596744
 456,   0.6795, 0.599606
 457,   0.6795, 0.604012
 458,   0.6795, 0.602421
 459,   0.6795,  0.59942
 460,   0.6795, 0.600154
 461,   0.6862, 0.601523
 462,   0.6843, 0.602259
 463,   0.6843, 0.598384
 464,    0.691,  0.59665
 465,    0.691, 0.597627
 466,   0.6897, 0.592674
 467,   0.6897, 0.586791
 468,   0.6897, 0.592985
 469,   0.6958, 0.598722
 470,   0.6958, 0.602603
 471,   0.6958, 0.601636
