gen, ranking_scalar1_uniform_best, ranking_scalar1_uniform_ave
 508,    0.595, 0.538828
 509,   0.6091, 0.536299
 510,   0.6091, 0.541031
 511,   0.6091, 0.540379
 512,   0.6091, 0.542454
 513,   0.6091, 0.539332
 514,   0.6027, 0.537736
 515,   0.6027, 0.539789
 516,   0.6027, 0.542499
 517,   0.6027, 0.545371
 518,   0.6027, 0.538239
 519,   0.6027, 0.537271
 520,   0.6027, 0.544182
 521,   0.6207, 0.543098
 522,   0.6207, 0.540915
 523,   0.6207, 0.535627
 524,   0.6207, 0.544215
 525,   0.6207, 0.547985
 526,   0.6207, 0.557335
 527,   0.6295, 0.559583
 528,   0.6295,  0.55748
 529,   0.6295, 0.558841
 530,   0.6295,  0.55521
 531,   0.6295,  0.55837
 532,   0.6295, 0.561114
 533,   0.6295, 0.559874
 534,   0.6295,  0.55881
 535,   0.6295, 0.557915
 536,   0.6295, 0.555788
 537,   0.6141, 0.556421
 538,   0.6141, 0.557559
 539,   0.6141, 0.554561
 540,   0.6141, 0.552691
 541,   0.6141, 0.554507
 542,   0.6134, 0.554306
 543,   0.6134, 0.554565
 544,   0.6134, 0.557061
 545,   0.6134, 0.552849
 546,   0.6134, 0.557183
 547,   0.6328, 0.559018
 548,   0.6328, 0.557697
 549,   0.6328, 0.552327
 550,   0.6328, 0.554757
 551,   0.6328, 0.552372
 552,   0.6252, 0.547162
 553,   0.6252, 0.549866
 554,   0.6252, 0.555022
 555,   0.6237, 0.555359
 556,   0.6237, 0.552785
 557,   0.6237, 0.549935
 558,   0.6237, 0.554011
 559,   0.6237, 0.548402
 560,   0.6272, 0.551439
 561,   0.6272, 0.554729
 562,   0.6314, 0.554371
 563,   0.6314, 0.552673
 564,   0.6314, 0.554618
 565,   0.6314, 0.555372
 566,   0.6314, 0.553685
 567,   0.6314, 0.555644
 568,   0.6314, 0.559651
 569,   0.6314, 0.563176
 570,   0.6314,   0.5637
 571,   0.6314, 0.561285
 572,   0.6314, 0.563415
 573,   0.6314, 0.560143
 574,   0.6329, 0.562618
 575,   0.6329, 0.563109
 576,   0.6329, 0.564008
 577,   0.6329, 0.563476
 578,   0.6329, 0.565811
 579,   0.6359, 0.562974
 580,   0.6359, 0.561525
 581,   0.6359, 0.562862
 582,   0.6359, 0.560844
 583,   0.6359,  0.55954
 584,   0.6359,  0.56178
 585,   0.6359, 0.560225
 586,   0.6359, 0.561924
 587,   0.6359, 0.562725
 588,   0.6359, 0.556861
 589,   0.6359, 0.564025
 590,   0.6359, 0.567906
 591,   0.6388, 0.569572
 592,   0.6388, 0.568134
 593,   0.6384, 0.567193
 594,   0.6384, 0.563519
 595,   0.6384, 0.570355
 596,   0.6384, 0.574242
 597,   0.6384, 0.566488
