gen, tournament_scalar3_uniform_best, tournament_scalar3_uniform_ave
 312,   0.7576, 0.700909
 313,   0.7576, 0.695188
 314,   0.7576, 0.696084
 315,   0.7576, 0.697366
 316,   0.7576, 0.693444
 317,   0.7576, 0.693662
 318,   0.7576, 0.694783
 319,   0.7576, 0.697255
 320,   0.7576, 0.694113
 321,   0.7576, 0.691708
 322,   0.7576, 0.697467
 323,   0.7576, 0.695199
 324,   0.7583,   0.6932
 325,   0.7583, 0.696209
 326,   0.7583, 0.698301
 327,   0.7583, 0.697381
 328,   0.7582,  0.69562
 329,   0.7582, 0.697645
 330,   0.7582, 0.701455
 331,   0.7582, 0.699842
 332,   0.7582, 0.697577
 333,   0.7582, 0.697877
 334,   0.7582, 0.699464
 335,   0.7582, 0.699337
 336,   0.7582, 0.695318
 337,   0.7582, 0.704092
 338,   0.7622,  0.69901
 339,   0.7622, 0.700033
 340,   0.7622,  0.70137
 341,   0.7622, 0.702073
 342,   0.7622, 0.699733
 343,   0.7622, 0.700433
 344,   0.7622, 0.701861
 345,   0.7622, 0.702812
 346,   0.7622, 0.702474
 347,   0.7622, 0.699507
 348,   0.7622, 0.698907
 349,   0.7631, 0.700459
 350,   0.7631, 0.704713
 351,   0.7631,  0.69562
 352,   0.7631,  0.70308
 353,   0.7631, 0.698264
 354,   0.7631, 0.696684
 355,   0.7631, 0.696676
 356,   0.7631, 0.703222
 357,   0.7631, 0.705143
 358,   0.7631,  0.70538
 359,   0.7631, 0.701988
 360,   0.7633, 0.709719
 361,   0.7633, 0.706194
 362,   0.7642, 0.705248
 363,   0.7642, 0.706637
 364,   0.7642, 0.703619
 365,   0.7642, 0.703846
 366,   0.7642, 0.707294
 367,   0.7642, 0.699361
 368,   0.7642, 0.703772
 369,   0.7642, 0.707309
 370,   0.7642, 0.709594
 371,   0.7644, 0.706011
 372,   0.7644, 0.703578
 373,   0.7644, 0.703675
 374,   0.7644, 0.705616
 375,   0.7644, 0.705965
 376,   0.7644, 0.704124
 377,   0.7644, 0.705937
 378,   0.7644, 0.708982
 379,   0.7644, 0.707016
 380,   0.7644, 0.704808
 381,   0.7644, 0.708767
 382,   0.7644, 0.709823
 383,   0.7644, 0.706313
 384,   0.7644, 0.708527
 385,   0.7644, 0.708837
 386,   0.7644, 0.707362
 387,   0.7644, 0.705588
 388,   0.7644, 0.704117
 389,   0.7644, 0.703528
 390,   0.7644, 0.707386
 391,   0.7647, 0.706481
 392,   0.7647, 0.710616
 393,   0.7647, 0.707774
 394,   0.7647, 0.712372
 395,   0.7647, 0.706202
 396,   0.7647, 0.711905
 397,   0.7651, 0.709014
 398,   0.7651, 0.707709
 399,   0.7651, 0.707483
 400,   0.7651, 0.706623
 401,   0.7651, 0.710752
 402,   0.7651, 0.707555
 403,   0.7651, 0.705582
 404,   0.7651, 0.706321
 405,    0.767, 0.707598
 406,    0.767, 0.709334
 407,    0.767, 0.704723
 408,    0.767, 0.708723
 409,    0.767, 0.708714
 410,    0.767, 0.707501
 411,    0.767, 0.709756
 412,    0.767, 0.711773
 413,    0.767, 0.707993
 414,    0.767, 0.706618
 415,    0.767, 0.711994
 416,   0.7676, 0.708676
 417,   0.7676, 0.711614
 418,   0.7676, 0.708503
 419,   0.7676, 0.710803
 420,   0.7676, 0.714554
 421,   0.7676, 0.709485
 422,   0.7676, 0.710666
 423,   0.7676, 0.712234
 424,   0.7676, 0.709216
 425,   0.7676, 0.708307
 426,   0.7676, 0.709315
 427,   0.7676, 0.708134
 428,   0.7676, 0.714926
 429,   0.7676, 0.711537
 430,   0.7676, 0.712847
 431,   0.7676, 0.707492
 432,   0.7676, 0.706695
 433,   0.7676, 0.710812
 434,   0.7676, 0.708263
 435,   0.7676, 0.711006
 436,   0.7676, 0.709916
 437,   0.7676, 0.708428
 438,   0.7676, 0.709666
 439,   0.7673, 0.707291
 440,   0.7673, 0.711486
 441,   0.7673, 0.711082
 442,   0.7673, 0.711315
 443,   0.7673, 0.707276
 444,   0.7673, 0.704739
 445,   0.7673, 0.705322
 446,   0.7674, 0.711209
 447,   0.7674, 0.706109
 448,   0.7674, 0.707281
 449,   0.7674, 0.708867
 450,   0.7673, 0.709477
 451,   0.7673, 0.712919
 452,   0.7673, 0.711998
 453,   0.7673, 0.713038
 454,   0.7673, 0.708157
 455,   0.7673, 0.714555
 456,   0.7673, 0.709373
 457,   0.7673, 0.711271
 458,   0.7673, 0.709685
 459,   0.7673, 0.706883
 460,   0.7673, 0.711695
 461,   0.7673, 0.713666
 462,   0.7673,  0.71061
 463,   0.7684, 0.711272
 464,   0.7684, 0.709455
 465,   0.7684, 0.709565
 466,   0.7684, 0.708856
 467,   0.7684, 0.706653
 468,   0.7684, 0.708303
 469,   0.7684, 0.711425
 470,   0.7684, 0.710938
 471,   0.7684, 0.710081
 472,   0.7684, 0.709107
 473,   0.7684, 0.710426
 474,   0.7684, 0.714249
 475,   0.7684, 0.711673
 476,   0.7684, 0.705332
 477,   0.7684, 0.705061
 478,   0.7684, 0.708533
 479,   0.7684, 0.710527
 480,   0.7687, 0.706402
 481,   0.7687, 0.710415
 482,   0.7687, 0.709095
 483,   0.7687, 0.716044
 484,    0.767, 0.711184
 485,    0.767, 0.716332
 486,    0.767, 0.709676
 487,   0.7697, 0.715725
 488,   0.7697, 0.708183
 489,   0.7682, 0.712278
 490,   0.7682,  0.71353
 491,    0.771, 0.714568
 492,    0.771, 0.713479
 493,    0.771, 0.714432
 494,    0.772, 0.715004
 495,    0.772, 0.715275
 496,    0.772, 0.709757
 497,    0.772, 0.712606
 498,    0.772, 0.710409
 499,    0.772, 0.712165
 500,    0.772, 0.712385
 501,    0.772, 0.710851
 502,    0.772, 0.714083
 503,    0.772, 0.714152
 504,    0.772, 0.713184
 505,    0.772, 0.713525
 506,    0.772, 0.716382
 507,    0.772, 0.717366
 508,   0.7719, 0.718712
 509,   0.7719, 0.712956
 510,   0.7719, 0.715442
 511,   0.7719, 0.715768
 512,   0.7719, 0.715741
 513,   0.7719, 0.711364
 514,   0.7719, 0.708282
 515,   0.7719, 0.716285
 516,   0.7719, 0.714077
 517,   0.7719, 0.709717
 518,    0.773, 0.715515
 519,    0.773, 0.723619
 520,    0.773, 0.716581
 521,    0.773, 0.716192
 522,    0.773, 0.716374
 523,    0.773, 0.716116
 524,   0.7738, 0.719801
 525,   0.7738, 0.720762
 526,   0.7738, 0.713887
 527,   0.7738, 0.715181
 528,   0.7748, 0.717213
 529,   0.7748, 0.717614
 530,   0.7748, 0.716086
 531,   0.7748, 0.719528
 532,   0.7748, 0.718569
 533,   0.7725, 0.719488
 534,   0.7725, 0.716797
 535,   0.7725, 0.718568
 536,   0.7725, 0.719182
 537,   0.7725, 0.717842
 538,   0.7725, 0.718038
 539,   0.7725, 0.717418
 540,   0.7732, 0.714697
 541,   0.7732, 0.716073
 542,   0.7732, 0.718269
 543,   0.7732, 0.715639
 544,   0.7732, 0.720061
 545,   0.7732, 0.717315
 546,   0.7732, 0.719931
 547,   0.7732, 0.713248
 548,   0.7732, 0.716335
 549,   0.7732, 0.721789
 550,   0.7732, 0.713768
 551,   0.7732,  0.71506
 552,   0.7732, 0.716935
 553,   0.7732, 0.710074
 554,   0.7732, 0.712745
 555,   0.7732, 0.712408
 556,   0.7732, 0.715427
 557,   0.7732, 0.716528
 558,   0.7732, 0.717155
 559,   0.7732, 0.716923
 560,   0.7732, 0.716401
 561,   0.7728,   0.7161
 562,   0.7728, 0.715381
 563,   0.7728, 0.716685
 564,   0.7728, 0.721287
 565,   0.7728, 0.717876
 566,   0.7737, 0.719872
 567,   0.7737, 0.715114
 568,   0.7737, 0.716757
 569,   0.7737, 0.721087
 570,   0.7737, 0.716304
 571,   0.7737, 0.719402
 572,   0.7737, 0.719073
 573,   0.7737, 0.718293
 574,   0.7737, 0.716837
 575,   0.7737, 0.715545
 576,   0.7737,  0.71871
 577,   0.7737, 0.720991
 578,   0.7737, 0.717021
 579,   0.7737, 0.718189
 580,   0.7737, 0.716461
 581,   0.7737, 0.709894
 582,   0.7737, 0.718475
 583,   0.7737, 0.720993
 584,   0.7733, 0.716924
 585,   0.7733, 0.718505
 586,   0.7731, 0.718419
 587,   0.7731, 0.719595
 588,   0.7731, 0.717636
 589,   0.7731, 0.715822
 590,   0.7731, 0.714258
 591,   0.7731, 0.716675
 592,   0.7731, 0.717826
 593,   0.7731, 0.716747
 594,   0.7731, 0.718141
 595,   0.7731, 0.715818
 596,   0.7748, 0.715692
 597,   0.7748, 0.718672
 598,   0.7756, 0.719629
 599,   0.7756, 0.722017
 600,   0.7756, 0.718456
 601,   0.7756, 0.719468
 602,   0.7756, 0.720556
 603,   0.7756, 0.721117
 604,   0.7756, 0.718504
 605,   0.7756, 0.716871
 606,   0.7756, 0.722028
 607,   0.7756, 0.715794
 608,   0.7756, 0.720044
 609,   0.7782, 0.719979
 610,   0.7782, 0.716323
 611,   0.7782, 0.718855
 612,   0.7782, 0.716935
 613,   0.7782,  0.71814
 614,   0.7782, 0.715768
 615,   0.7782, 0.718094
 616,   0.7782, 0.716752
 617,   0.7782, 0.722547
 618,   0.7782, 0.719765
 619,   0.7782, 0.722161
 620,   0.7782,  0.72275
 621,   0.7782,  0.72003
 622,   0.7782, 0.719735
 623,   0.7782, 0.720496
 624,   0.7782, 0.718655
 625,   0.7782, 0.719184
 626,   0.7782, 0.724433
 627,   0.7782, 0.720064
 628,   0.7782,  0.72161
 629,   0.7782, 0.724064
 630,   0.7782, 0.719347
 631,   0.7782, 0.718055
 632,   0.7782, 0.718219
 633,   0.7782, 0.726098
 634,   0.7782, 0.725258
 635,   0.7782, 0.721884
 636,   0.7782, 0.723232
 637,   0.7782, 0.722163
 638,   0.7782, 0.718167
 639,   0.7782, 0.722886
 640,   0.7782, 0.723038
 641,   0.7782, 0.722613
 642,   0.7782, 0.718478
 643,   0.7782, 0.724675
 644,   0.7782, 0.721963
 645,   0.7782, 0.719805
 646,   0.7782, 0.722728
 647,   0.7782, 0.719498
 648,   0.7782, 0.720522
 649,   0.7782, 0.722287
 650,   0.7782, 0.721951
 651,   0.7782, 0.719998
 652,   0.7782, 0.719995
 653,   0.7782, 0.719987
 654,   0.7782, 0.723508
 655,   0.7782, 0.719443
 656,   0.7782, 0.721771
 657,   0.7782, 0.723535
 658,   0.7782,  0.71874
 659,   0.7782, 0.722529
 660,   0.7781, 0.723794
 661,   0.7781,  0.72595
 662,   0.7781, 0.723768
 663,   0.7781, 0.722989
 664,   0.7781, 0.722637
 665,   0.7781, 0.725482
 666,   0.7781, 0.724563
 667,   0.7781, 0.722713
 668,   0.7781, 0.724702
 669,   0.7781, 0.717499
 670,   0.7781, 0.721766
 671,   0.7781, 0.722165
 672,   0.7781, 0.725548
 673,   0.7781, 0.720772
 674,   0.7781, 0.725573
 675,   0.7781, 0.717202
 676,   0.7781, 0.720178
 677,   0.7781, 0.723569
 678,   0.7778, 0.723877
 679,   0.7778, 0.722458
 680,   0.7778, 0.722729
 681,   0.7778, 0.726498
 682,   0.7778, 0.722711
 683,    0.777, 0.722565
 684,    0.777, 0.724477
 685,    0.777, 0.721181
 686,    0.777, 0.720536
 687,    0.777, 0.721283
 688,    0.777,  0.72152
 689,    0.777, 0.717224
 690,    0.777, 0.722482
 691,    0.777, 0.720234
 692,    0.777, 0.722024
 693,    0.777,  0.72334
 694,    0.777, 0.721406
 695,    0.777, 0.723761
 696,    0.777, 0.723668
 697,    0.777, 0.719947
 698,   0.7783, 0.722462
 699,   0.7783, 0.722824
 700,   0.7783, 0.721797
 701,   0.7783, 0.722125
 702,   0.7783, 0.718714
 703,   0.7783, 0.717354
 704,   0.7783, 0.725741
 705,   0.7783, 0.718636
 706,   0.7783, 0.719017
 707,   0.7786, 0.720553
 708,   0.7786, 0.720524
 709,   0.7781, 0.721896
 710,   0.7807, 0.721842
 711,   0.7807, 0.723282
 712,   0.7807,  0.72501
 713,   0.7807, 0.727188
 714,   0.7807, 0.722255
 715,   0.7807, 0.718347
 716,   0.7796, 0.719423
 717,   0.7796, 0.723198
 718,   0.7796, 0.723588
 719,   0.7796, 0.723033
 720,   0.7796, 0.723092
 721,   0.7796, 0.724274
 722,   0.7796, 0.723677
 723,   0.7796, 0.721974
 724,   0.7796, 0.725168
 725,   0.7819, 0.723778
 726,   0.7819, 0.724842
 727,   0.7815, 0.714175
 728,   0.7863, 0.714995
 729,   0.7863, 0.720239
 730,   0.7863, 0.723085
 731,   0.7863,  0.72393
 732,   0.7878,  0.72547
 733,   0.7878, 0.726287
 734,   0.7878, 0.719815
 735,   0.7878, 0.726761
 736,   0.7878, 0.721386
 737,   0.7878,  0.72159
 738,   0.7919, 0.724361
 739,   0.7919, 0.722157
 740,   0.7922, 0.724979
 741,   0.7922, 0.725086
 742,   0.7922, 0.727593
 743,   0.7922, 0.728096
 744,   0.7973, 0.727936
 745,   0.7973, 0.729007
 746,   0.7973, 0.721845
 747,   0.7973, 0.726985
 748,   0.7973, 0.728143
 749,   0.7991, 0.727547
 750,   0.7991, 0.727149
 751,   0.7991,  0.72581
 752,   0.7998, 0.729348
 753,   0.7998, 0.735389
 754,   0.8013, 0.730649
 755,   0.8013, 0.727592
 756,   0.8013, 0.729698
 757,   0.8013, 0.740839
 758,   0.8013, 0.731453
 759,   0.8013, 0.735685
 760,   0.8013, 0.733036
 761,   0.8013, 0.733441
 762,   0.8013, 0.732562
 763,   0.8013, 0.731478
 764,   0.8013,  0.73506
 765,   0.8013, 0.737193
 766,   0.8013, 0.734419
 767,   0.8013, 0.741118
 768,   0.8013,  0.73725
 769,   0.8013, 0.732787
 770,   0.8008, 0.731981
 771,   0.8008, 0.739309
 772,   0.8008, 0.734081
 773,   0.8046, 0.735241
 774,   0.8046, 0.735064
 775,   0.8046, 0.733696
 776,   0.8046, 0.735306
 777,   0.8046, 0.735159
 778,   0.8046, 0.736835
 779,   0.8046, 0.733795
 780,   0.8046, 0.738159
 781,   0.8046, 0.735805
 782,   0.8046, 0.738776
 783,   0.8046, 0.736432
 784,   0.8046, 0.738945
 785,   0.8046, 0.739299
 786,   0.8046, 0.731451
 787,   0.8046, 0.731956
 788,   0.8046, 0.740051
 789,   0.8046, 0.740713
 790,   0.8046, 0.738245
 791,   0.8046, 0.735794
 792,   0.8046, 0.735577
 793,   0.8046, 0.743614
 794,   0.8046, 0.740399
 795,   0.8046, 0.737041
 796,   0.8046, 0.736939
 797,   0.8046, 0.740264
 798,   0.8046, 0.737481
 799,   0.8046, 0.739631
 800,   0.8046, 0.735411
 801,   0.8046, 0.731165
 802,   0.8046, 0.736355
 803,   0.8046, 0.740521
 804,   0.8046, 0.742392
 805,   0.8046, 0.738063
 806,   0.8046, 0.732238
 807,   0.8046, 0.734501
 808,   0.8046, 0.732931
 809,   0.8058, 0.734053
 810,   0.8064, 0.735926
 811,   0.8064, 0.733901
 812,   0.8064,  0.73739
 813,   0.8064, 0.734465
 814,   0.8089, 0.737884
 815,   0.8089, 0.739016
 816,   0.8095, 0.738744
 817,   0.8095, 0.739931
 818,   0.8095, 0.739111
 819,   0.8095,  0.74188
 820,   0.8095, 0.740696
 821,   0.8095, 0.739822
 822,   0.8095, 0.743968
 823,   0.8095,  0.74607
 824,   0.8095, 0.742317
 825,   0.8095,  0.74595
 826,   0.8095, 0.740808
 827,   0.8095, 0.742271
 828,   0.8095,  0.74197
 829,   0.8095, 0.746461
 830,   0.8095, 0.741949
 831,   0.8096, 0.740192
 832,   0.8096, 0.743385
 833,   0.8096, 0.742417
 834,   0.8096, 0.741232
 835,   0.8096, 0.740472
 836,   0.8096, 0.743752
 837,   0.8088, 0.745361
 838,   0.8088, 0.742721
 839,   0.8088, 0.746427
 840,   0.8102, 0.738993
 841,   0.8102, 0.737012
 842,   0.8102, 0.739036
 843,   0.8102, 0.739513
 844,   0.8102, 0.740811
 845,   0.8102, 0.742288
